ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
I am Bob.	أنـا بـوب.	আমি বব	我是Bob。	Je suis Bob.	Mwen se Bob.	Saya Bob.	Eu sou Bob.	Я Боб	Yo soy Bob.	Mimi ni Bob	நான் Bob.	ฉันชื่อบ๊อบ	میں باب ہوں۔
This is an egg.	هذه بـيـضـة	এইটা একটি ডিম	这是一个鸡蛋。	Ceci est un oeuf.	Sa se yon ze.	Ini telur.	Este é um ovo.	Это яйцо.	Este es un huevo.	Hili ni yai	இது ஒரு முட்டை.	นี่คือไข่	یہ ایک انڈا ہے۔
Look at it.	أنـظـر إلى ذلك	এইদিকে দেখো	看向它。	Regarde à ça.	Gade l'.	Lihatlah.	Olhe para isso.	Посмотри на это.	Véanlo.	Iangalie / Muangalie (mnyama) / Liangalie / Kiangalie	அதை பாருங்கள்.	ดูมันสิ	اس کی طرف دیکھیں۔
I will if I can.	سـوف أفعـل إذا كان فى إستطاعتي 	আমি করব যদি আমি পারি	如果可以，我会。	Je le ferai si je peux.	Mwen prale si m' kapab	Saya akan sekiranya saya boleh	Eu vou se eu puder	Я сделаю, если смогу	Si puedo hacerlo, lo haré.	Nitafanya nikiweza	என்னால் முடிந்தால் நான் செய்வேன்.	ฉันจะทำถ้าฉันสามารถ	اگر میں کر سکا تو میں کروں گا۔
It is in the bag.	إنـهـا فـى الـحـقـيـبـة	এইটা একটা থলে	它在包里。	Il est dans le sac.	Li nan valiz la.	Ia ada di dalam beg.	Está na bolsa.	Оно в сумке.	Está en la bolsa.	Kiko kwenye begi	 இது பையில் இருக்கிறது.	มันอยู่ในกระเป๋า	یہ بستے میں ہے۔
It is here.	إنـهـا هـنـا	এইটা এখানে	它在这里。	c'est  là.	Li la.	Ia di sini.	Está aqui.	Это здесь.	Está aquí.	Kiko / Yuko (mnyama) hapa	இது இங்கே இருக்கிறது.	มันอยู่ที่นี่	یہ یہاں ہے.
It is on the table.	إنـهـا عـلـى الـمـنـضـدة	এইটা টেবিলের উপর	它在桌子上。	c'est sur la table.	Li sou tab la.	Di atas meja.	Está na mesa.	Оно на столе.	Está sobre la mesa.	Kiko / Yuko (mnyama) juu ya meza	அது மேசையின் மீது இருக்கிறது.	มันอยู่บนโต๊ะ	یہ میز پر ہے۔
Look up on top.	أنـظـر للأعـلـى	উপরের দিকে তাকাও	朝上看。	Regarde en haut.	Gade anlè.	Cari di atas.	Olhe para cima.	Посмотри наверху.	Búsquenlo por encima.	Angalia juu	மேலே பாருங்கள்.	เงยหน้าข้างบน	اوپر دیکھیں۔
Come with us.	تـعـالـى مـعـنـا	আমাদের সাথে আসো	跟我们一起来。	Viens avec nous.	vini avèk nou/An ale avèk nou.	Mari bersama kami.	Venha conosco.	Пойдем с нами.	Vengan con nosotros.	Njoo na sisi	எங்களுடன் வாருங்கள்.	มาพร้อมกับเรา	ہمارے ساتھ چلیں۔
You and I can go.	يـُمـكـن أن نـذهـب أنتَ وأنـا	তুমি এবং আমি যেতে পারি	 你和我可以去。	Toi et moi, on peut y aller.	Mwen ak ou ka ale.	Anda dan saya boleh pergi.	Você e eu podemos ir.	Мы с тобой можем идти.	Tú y yo podemos ir.	Wewe / Nyinyi na mimi tunaweza kwenda	நீங்களும் நானும் செல்லலாம்.	คุณและฉันสามารถไปได้	آپ اور میں جا سکتے ہیں۔
